ep : ,1,    ,ep_step : ,23,    ,state : ,71517.562987,2.794898,-25345.284073,0.865854,-0.000261,3.837778,    ,"ecc,a,inc:",0.865785,51220.874858,20.750418,    ,"Reward,score : ",1.5308,78.6382,    ,    ,Normalized_State: ,0.551662,2.2e-05,-0.195505,0.865854,-0.000261,0.610801,    ,    ,action_values : ,-2.095459,0.3336,0.0004,    ,    ,Mass : ,1198.6774529030722,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,24,    ,state : ,71502.958809,-4.240537,-25333.344479,0.865785,-2e-06,4.012222,    ,"ecc,a,inc:",0.86572,51187.011426,20.749519,    ,"Reward,score : ",1.0899,79.7281,    ,    ,Normalized_State: ,0.551549,-3.3e-05,-0.195413,0.865785,-2e-06,0.638565,    ,    ,action_values : ,-2.161567,0.1376,0.0004,    ,    ,Mass : ,1198.6436349508717,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,25,    ,state : ,71495.223361,-5.798875,-25329.555212,0.86572,0.000169,4.186667,    ,"ecc,a,inc:",0.865671,51162.432361,20.749261,    ,"Reward,score : ",0.788,80.5161,    ,    ,Normalized_State: ,0.55149,-4.5e-05,-0.195384,0.86572,0.000169,0.666329,    ,    ,action_values : ,-2.384692,0.1071,0.0004,    ,    ,Mass : ,1198.6236231202392,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,26,    ,state : ,71490.183251,-6.46979,-25327.467964,0.865671,0.000287,4.361111,    ,"ecc,a,inc:",0.865633,51145.124781,20.748959,    ,"Reward,score : ",0.5714,81.0875,    ,    ,Normalized_State: ,0.551451,-5e-05,-0.195367,0.865671,0.000287,0.694092,    ,    ,action_values : ,-2.450742,0.3805,0.0004,    ,    ,Mass : ,1198.6110465834097,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,27,    ,state : ,71487.474042,-7.822004,-25326.155052,0.865633,0.000352,4.535556,    ,"ecc,a,inc:",0.865601,51132.852389,20.748948,    ,"Reward,score : ",0.4209,81.5083,    ,    ,Normalized_State: ,0.55143,-6e-05,-0.195357,0.865633,0.000352,0.721856,    ,    ,action_values : ,-1.812754,0.0616,0.0004,    ,    ,Mass : ,1198.6026685715447,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,28,    ,state : ,71486.941227,-7.958214,-25325.953926,0.865601,0.000368,4.71,    ,"ecc,a,inc:",0.865572,51121.197369,20.748961,    ,"Reward,score : ",0.3903,81.8987,    ,    ,Normalized_State: ,0.551426,-6.1e-05,-0.195356,0.865601,0.000368,0.74962,    ,    ,action_values : ,-2.404533,0.1428,0.0004,    ,    ,Mass : ,1198.5967809249967,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,29,    ,state : ,71485.907575,-8.157908,-25325.602469,0.865572,0.000395,4.884444,    ,"ecc,a,inc:",0.865548,51111.624343,20.748948,    ,"Reward,score : ",0.3204,82.2191,    ,    ,Normalized_State: ,0.551418,-6.3e-05,-0.195353,0.865572,0.000395,0.777383,    ,    ,action_values : ,-2.734093,-0.0672,0.0004,    ,    ,Mass : ,1198.5924378071518,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,30,    ,state : ,71485.034047,-8.095947,-25325.277979,0.865548,0.00042,5.058889,    ,"ecc,a,inc:",0.865528,51103.611227,20.749001,    ,"Reward,score : ",0.2692,82.4883,    ,    ,Normalized_State: ,0.551411,-6.2e-05,-0.195351,0.865548,0.00042,0.805147,    ,    ,action_values : ,-2.469083,0.2368,0.0004,    ,    ,Mass : ,1198.589090560886,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,31,    ,state : ,71484.513443,-8.241745,-25325.155988,0.865528,0.000432,5.233333,    ,"ecc,a,inc:",0.865509,51096.42204,20.749005,    ,"Reward,score : ",0.2421,82.7304,    ,    ,Normalized_State: ,0.551407,-6.4e-05,-0.19535,0.865528,0.000432,0.832911,    ,    ,action_values : ,-2.86447,0.0172,0.0004,    ,    ,Mass : ,1198.5864058345087,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,32,    ,state : ,71484.013968,-8.249043,-25324.983789,0.865509,0.000444,5.407778,    ,"ecc,a,inc:",0.865497,51091.817905,20.74896,    ,"Reward,score : ",0.1578,82.8882,    ,    ,Normalized_State: ,0.551403,-6.4e-05,-0.195348,0.865509,0.000444,0.860675,    ,    ,action_values : ,-2.006218,-0.1937,0.0004,    ,    ,Mass : ,1198.5841721051725,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
