ep : ,1,    ,ep_step : ,23,    ,state : ,129562.515979,65.010516,188.534387,0.003861,0.003213,2.013088,    ,"ecc,a,inc:",0.005023,42114.801944,0.088135,    ,"Reward,score : ",0.0186,0.419,    ,    ,Normalized_State: ,0.999401,0.000501,0.001454,0.003861,0.003213,0.320393,    ,    ,action_values : ,0.551379,-0.3572,0.0002,    ,    ,Mass : ,414.6277517116573,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,24,    ,state : ,129562.939083,64.843232,188.455501,0.003857,0.003218,2.014832,    ,"ecc,a,inc:",0.005022,42115.061541,0.088074,    ,"Reward,score : ",0.0182,0.4372,    ,    ,Normalized_State: ,0.999404,0.0005,0.001454,0.003857,0.003218,0.320671,    ,    ,action_values : ,0.622804,-0.3814,0.0002,    ,    ,Mass : ,414.6276040387252,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,25,    ,state : ,129563.338787,64.665277,188.37114,0.003852,0.003222,2.016577,    ,"ecc,a,inc:",0.005022,42115.32805,0.088011,    ,"Reward,score : ",0.0184,0.4556,    ,    ,Normalized_State: ,0.999407,0.000499,0.001453,0.003852,0.003222,0.320948,    ,    ,action_values : ,0.578402,-0.3924,0.0002,    ,    ,Mass : ,414.6274563637688,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,26,    ,state : ,129563.749004,64.482595,188.284146,0.003847,0.003227,2.018321,    ,"ecc,a,inc:",0.005021,42115.604061,0.087966,    ,"Reward,score : ",0.0188,0.4744,    ,    ,Normalized_State: ,0.999411,0.000497,0.001452,0.003847,0.003227,0.321226,    ,    ,action_values : ,0.586634,-0.276,0.0002,    ,    ,Mass : ,414.62730868677494,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,27,    ,state : ,129564.173873,64.35261,188.222128,0.003843,0.003232,2.020066,    ,"ecc,a,inc:",0.00502,42115.83398,0.087905,    ,"Reward,score : ",0.0173,0.4917,    ,    ,Normalized_State: ,0.999414,0.000496,0.001452,0.003843,0.003232,0.321503,    ,    ,action_values : ,0.767971,-0.3784,0.0002,    ,    ,Mass : ,414.6271610077035,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,28,    ,state : ,129564.52831,64.176432,188.137424,0.003838,0.003236,2.02181,    ,"ecc,a,inc:",0.005019,42116.095804,0.087853,    ,"Reward,score : ",0.0184,0.5102,    ,    ,Normalized_State: ,0.999417,0.000495,0.001451,0.003838,0.003236,0.321781,    ,    ,action_values : ,0.642016,-0.3194,0.0002,    ,    ,Mass : ,414.62701332661646,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,29,    ,state : ,129564.931505,64.026845,188.065305,0.003833,0.00324,2.023554,    ,"ecc,a,inc:",0.005019,42116.369961,0.087794,    ,"Reward,score : ",0.0187,0.5288,    ,    ,Normalized_State: ,0.99942,0.000494,0.001451,0.003833,0.00324,0.322059,    ,    ,action_values : ,0.550822,-0.366,0.0002,    ,    ,Mass : ,414.6268656434326,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,30,    ,state : ,129565.353417,63.856484,187.982758,0.003828,0.003245,2.025299,    ,"ecc,a,inc:",0.005018,42116.639084,0.087748,    ,"Reward,score : ",0.0187,0.5475,    ,    ,Normalized_State: ,0.999423,0.000493,0.00145,0.003828,0.003245,0.322336,    ,    ,action_values : ,0.621073,-0.2807,0.0002,    ,    ,Mass : ,414.6267179582353,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,31,    ,state : ,129565.767787,63.724753,187.918751,0.003824,0.00325,2.027043,    ,"ecc,a,inc:",0.005018,42116.926598,0.087691,    ,"Reward,score : ",0.0189,0.5664,    ,    ,Normalized_State: ,0.999426,0.000492,0.00145,0.003824,0.00325,0.322614,    ,    ,action_values : ,0.473489,-0.3567,0.0002,    ,    ,Mass : ,414.62657027097464,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,32,    ,state : ,129566.210036,63.558836,187.837676,0.003819,0.003256,2.028788,    ,"ecc,a,inc:",0.005017,42117.173586,0.087623,    ,"Reward,score : ",0.0178,0.5843,    ,    ,Normalized_State: ,0.99943,0.00049,0.001449,0.003819,0.003256,0.322892,    ,    ,action_values : ,0.667112,-0.4199,0.0002,    ,    ,Mass : ,414.62642258173105,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,33,    ,state : ,129566.590459,63.365207,187.742476,0.003814,0.00326,2.030532,    ,"ecc,a,inc:",0.005017,42117.448133,0.087576,    ,"Reward,score : ",0.0188,0.6031,    ,    ,Normalized_State: ,0.999433,0.000489,0.001448,0.003814,0.00326,0.323169,    ,    ,action_values : ,0.590166,-0.2867,0.0002,    ,    ,Mass : ,414.62627489047895,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,34,    ,state : ,129567.013086,63.231085,187.676434,0.003809,0.003265,2.032277,    ,"ecc,a,inc:",0.005016,42117.70795,0.087521,    ,"Reward,score : ",0.0184,0.6215,    ,    ,Normalized_State: ,0.999436,0.000488,0.001448,0.003809,0.003265,0.323447,    ,    ,action_values : ,0.644136,-0.3377,0.0002,    ,    ,Mass : ,414.62612719712456,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,35,    ,state : ,129567.413198,63.074039,187.598647,0.003805,0.003269,2.034021,    ,"ecc,a,inc:",0.005015,42117.951411,0.087462,    ,"Reward,score : ",0.0179,0.6394,    ,    ,Normalized_State: ,0.999439,0.000487,0.001447,0.003805,0.003269,0.323725,    ,    ,action_values : ,0.713658,-0.3606,0.0002,    ,    ,Mass : ,414.6259795017571,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,36,    ,state : ,129567.788334,62.906893,187.515432,0.0038,0.003273,2.035766,    ,"ecc,a,inc:",0.005014,42118.197909,0.087399,    ,"Reward,score : ",0.0179,0.6573,    ,    ,Normalized_State: ,0.999442,0.000485,0.001446,0.0038,0.003273,0.324002,    ,    ,action_values : ,0.685094,-0.3908,0.0002,    ,    ,Mass : ,414.62583180433745,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,37,    ,state : ,129568.168059,62.726599,187.425247,0.003795,0.003277,2.03751,    ,"ecc,a,inc:",0.005013,42118.450624,0.087346,    ,"Reward,score : ",0.0182,0.6755,    ,    ,Normalized_State: ,0.999445,0.000484,0.001446,0.003795,0.003277,0.32428,    ,    ,action_values : ,0.685364,-0.3235,0.0002,    ,    ,Mass : ,414.625684104857,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,38,    ,state : ,129568.557363,62.576298,187.349823,0.00379,0.003282,2.039254,    ,"ecc,a,inc:",0.005013,42118.71588,0.087285,    ,"Reward,score : ",0.0185,0.694,    ,    ,Normalized_State: ,0.999448,0.000483,0.001445,0.00379,0.003282,0.324557,    ,    ,action_values : ,0.596636,-0.3744,0.0002,    ,    ,Mass : ,414.62553640328304,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,39,    ,state : ,129568.965712,62.403503,187.262685,0.003785,0.003286,2.040999,    ,"ecc,a,inc:",0.005012,42118.990473,0.087238,    ,"Reward,score : ",0.0189,0.7129,    ,    ,Normalized_State: ,0.999451,0.000481,0.001444,0.003785,0.003286,0.324835,    ,    ,action_values : ,0.590307,-0.2862,0.0002,    ,    ,Mass : ,414.62538869968176,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,40,    ,state : ,129569.388415,62.270273,187.195336,0.00378,0.003291,2.042743,    ,"ecc,a,inc:",0.005011,42119.242865,0.087184,    ,"Reward,score : ",0.0182,0.7311,    ,    ,Normalized_State: ,0.999454,0.00048,0.001444,0.00378,0.003291,0.325113,    ,    ,action_values : ,0.683969,-0.3308,0.0002,    ,    ,Mass : ,414.6252409940135,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,41,    ,state : ,129569.777218,62.117071,187.117436,0.003776,0.003295,2.044488,    ,"ecc,a,inc:",0.005011,42119.498536,0.087121,    ,"Reward,score : ",0.0183,0.7494,    ,    ,Normalized_State: ,0.999457,0.000479,0.001443,0.003776,0.003295,0.32539,    ,    ,action_values : ,0.643835,-0.3815,0.0002,    ,    ,Mass : ,414.62509328632336,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,42,    ,state : ,129570.17095,61.941623,187.027777,0.003771,0.0033,2.046232,    ,"ecc,a,inc:",0.00501,42119.780942,0.087072,    ,"Reward,score : ",0.0191,0.7684,    ,    ,Normalized_State: ,0.99946,0.000478,0.001443,0.003771,0.0033,0.325668,    ,    ,action_values : ,0.539624,-0.3011,0.0002,    ,    ,Mass : ,414.624945576597,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,43,    ,state : ,129570.605531,61.802041,186.956283,0.003766,0.003305,2.047977,    ,"ecc,a,inc:",0.00501,42120.037453,0.087022,    ,"Reward,score : ",0.0184,0.7868,    ,    ,Normalized_State: ,0.999464,0.000477,0.001442,0.003766,0.003305,0.325946,    ,    ,action_values : ,0.675912,-0.3017,0.0002,    ,    ,Mass : ,414.62479786480577,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,44,    ,state : ,129571.000656,61.662297,186.884349,0.003761,0.003309,2.049721,    ,"ecc,a,inc:",0.005009,42120.282369,0.086962,    ,"Reward,score : ",0.018,0.8048,    ,    ,Normalized_State: ,0.999467,0.000476,0.001442,0.003761,0.003309,0.326223,    ,    ,action_values : ,0.704575,-0.3661,0.0002,    ,    ,Mass : ,414.62465015098445,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,45,    ,state : ,129571.378008,61.494008,186.79723,0.003756,0.003313,2.051466,    ,"ecc,a,inc:",0.005008,42120.543506,0.086906,    ,"Reward,score : ",0.0185,0.8233,    ,    ,Normalized_State: ,0.999469,0.000474,0.001441,0.003756,0.003313,0.326501,    ,    ,action_values : ,0.638557,-0.3359,0.0002,    ,    ,Mass : ,414.6245024351273,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,46,    ,state : ,129571.780144,61.339243,186.716835,0.003751,0.003318,2.05321,    ,"ecc,a,inc:",0.005007,42120.787743,0.08685,    ,"Reward,score : ",0.018,0.8413,    ,    ,Normalized_State: ,0.999473,0.000473,0.00144,0.003751,0.003318,0.326779,    ,    ,action_values : ,0.718447,-0.3411,0.0002,    ,    ,Mass : ,414.6243547171986,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,47,    ,state : ,129572.156495,61.182302,186.634922,0.003746,0.003322,2.054954,    ,"ecc,a,inc:",0.005006,42121.06246,0.086797,    ,"Reward,score : ",0.0189,0.8602,    ,    ,Normalized_State: ,0.999475,0.000472,0.00144,0.003746,0.003322,0.327056,    ,    ,action_values : ,0.575147,-0.3177,0.0002,    ,    ,Mass : ,414.6242069972129,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,48,    ,state : ,129572.57935,61.035886,186.558261,0.003741,0.003326,2.056699,    ,"ecc,a,inc:",0.005006,42121.337049,0.086745,    ,"Reward,score : ",0.0189,0.8791,    ,    ,Normalized_State: ,0.999479,0.000471,0.001439,0.003741,0.003326,0.327334,    ,    ,action_values : ,0.576265,-0.317,0.0002,    ,    ,Mass : ,414.6240592751702,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
