ep : ,1,    ,ep_step : ,23,    ,state : ,129700.670466,237.368322,-46.969699,0.000577,0.00124,3.876156,    ,"ecc,a,inc:",0.001369,42203.377809,0.106763,    ,"Reward,score : ",0.0005,-0.0014,    ,    ,Normalized_State: ,1.000467,0.001831,-0.000362,0.000577,0.00124,0.616909,    ,    ,action_values : ,-3.14057,1.4606,0.0003,    ,    ,Mass : ,1033.465265996022,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,24,    ,state : ,129700.630411,237.12548,-46.701358,0.000577,0.001241,3.8779,    ,"ecc,a,inc:",0.00137,42203.323444,0.106638,    ,"Reward,score : ",0.0012,-0.0002,    ,    ,Normalized_State: ,1.000466,0.001829,-0.00036,0.000577,0.001241,0.617187,    ,    ,action_values : ,-2.929195,1.3332,0.0003,    ,    ,Mass : ,1033.4648430133984,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,25,    ,state : ,129700.546651,236.887478,-46.43936,0.000578,0.001242,3.879644,    ,"ecc,a,inc:",0.001372,42203.246051,0.106516,    ,"Reward,score : ",0.0021,0.0019,    ,    ,Normalized_State: ,1.000466,0.001827,-0.000358,0.000578,0.001242,0.617465,    ,    ,action_values : ,-3.132976,1.2371,0.0003,    ,    ,Mass : ,1033.4644200297917,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,26,    ,state : ,129700.427428,236.655588,-46.185044,0.00058,0.001243,3.881389,    ,"ecc,a,inc:",0.001372,42203.244119,0.106387,    ,"Reward,score : ",-0.0003,0.0016,    ,    ,Normalized_State: ,1.000465,0.001825,-0.000356,0.00058,0.001243,0.617742,    ,    ,action_values : ,-3.124752,1.5626,0.0003,    ,    ,Mass : ,1033.4639970450762,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,27,    ,state : ,129700.424451,236.409927,-45.916365,0.00058,0.001243,3.883133,    ,"ecc,a,inc:",0.001373,42203.192694,0.106261,    ,"Reward,score : ",0.0013,0.0029,    ,    ,Normalized_State: ,1.000465,0.001824,-0.000354,0.00058,0.001243,0.61802,    ,    ,action_values : ,3.138703,1.3514,0.0003,    ,    ,Mass : ,1033.4635740593735,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,28,    ,state : ,129700.34523,236.169547,-45.654506,0.000581,0.001244,3.884878,    ,"ecc,a,inc:",0.001373,42203.188149,0.106131,    ,"Reward,score : ",-0.0003,0.0025,    ,    ,Normalized_State: ,1.000464,0.001822,-0.000352,0.000581,0.001244,0.618298,    ,    ,action_values : ,-2.175943,1.537,0.0003,    ,    ,Mass : ,1033.4631510727654,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,29,    ,state : ,129700.338224,235.923073,-45.386826,0.000581,0.001244,3.886622,    ,"ecc,a,inc:",0.001374,42203.152621,0.106003,    ,"Reward,score : ",0.0008,0.0033,    ,    ,Normalized_State: ,1.000464,0.00182,-0.00035,0.000581,0.001244,0.618575,    ,    ,action_values : ,-3.140121,1.4199,0.0003,    ,    ,Mass : ,1033.4627280852408,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,30,    ,state : ,129700.283491,235.678712,-45.122446,0.000581,0.001245,3.888367,    ,"ecc,a,inc:",0.001374,42203.150354,0.105874,    ,"Reward,score : ",-0.0003,0.003,    ,    ,Normalized_State: ,1.000464,0.001818,-0.000348,0.000581,0.001245,0.618853,    ,    ,action_values : ,-2.882053,1.5609,0.0003,    ,    ,Mass : ,1033.462305096848,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,31,    ,state : ,129700.279998,235.43118,-44.855487,0.000581,0.001245,3.890111,    ,"ecc,a,inc:",0.001374,42203.123505,0.105745,    ,"Reward,score : ",0.0005,0.0035,    ,    ,Normalized_State: ,1.000464,0.001816,-0.000346,0.000581,0.001245,0.61913,    ,    ,action_values : ,-3.141587,1.4569,0.0003,    ,    ,Mass : ,1033.4618821075928,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,32,    ,state : ,129700.238635,235.184708,-44.590659,0.000582,0.001245,3.891856,    ,"ecc,a,inc:",0.001371,42203.259202,0.105649,    ,"Reward,score : ",-0.0047,-0.0012,    ,    ,Normalized_State: ,1.000463,0.001814,-0.000344,0.000582,0.001245,0.619408,    ,    ,action_values : ,0.545058,0.8343,0.0003,    ,    ,Mass : ,1033.461459117503,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,33,    ,state : ,129700.447747,235.001015,-44.393592,0.00058,0.001242,3.8936,    ,"ecc,a,inc:",0.001371,42203.256276,0.105519,    ,"Reward,score : ",-0.0003,-0.0015,    ,    ,Normalized_State: ,1.000465,0.001813,-0.000342,0.00058,0.001242,0.619686,    ,    ,action_values : ,-3.108281,1.5584,0.0003,    ,    ,Mass : ,1033.4610361269677,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,34,    ,state : ,129700.44324,234.752093,-44.127937,0.00058,0.001242,3.895344,    ,"ecc,a,inc:",0.001371,42203.253896,0.10539,    ,"Reward,score : ",-0.0005,-0.002,    ,    ,Normalized_State: ,1.000465,0.001811,-0.00034,0.00058,0.001242,0.619963,    ,    ,action_values : ,-1.730353,1.5072,0.0003,    ,    ,Mass : ,1033.46061313597,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,35,    ,state : ,129700.439562,234.503194,-43.863233,0.00058,0.001242,3.897089,    ,"ecc,a,inc:",0.001372,42203.222995,0.105261,    ,"Reward,score : ",0.0007,-0.0014,    ,    ,Normalized_State: ,1.000465,0.001809,-0.000338,0.00058,0.001242,0.620241,    ,    ,action_values : ,3.018589,1.4387,0.0003,    ,    ,Mass : ,1033.4601901442084,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,36,    ,state : ,129700.39196,234.255425,-43.600719,0.000581,0.001243,3.898833,    ,"ecc,a,inc:",0.001373,42203.17199,0.105138,    ,"Reward,score : ",0.0019,0.0005,    ,    ,Normalized_State: ,1.000465,0.001807,-0.000336,0.000581,0.001243,0.620519,    ,    ,action_values : ,2.291361,1.2378,0.0003,    ,    ,Mass : ,1033.4597671516158,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,37,    ,state : ,129700.31343,234.018714,-43.350847,0.000582,0.001243,3.900578,    ,"ecc,a,inc:",0.001373,42203.165189,0.105008,    ,"Reward,score : ",-0.0001,0.0005,    ,    ,Normalized_State: ,1.000464,0.001805,-0.000334,0.000582,0.001243,0.620796,    ,    ,action_values : ,2.336508,1.5293,0.0003,    ,    ,Mass : ,1033.45934415808,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,38,    ,state : ,129700.302957,233.768126,-43.087137,0.000582,0.001243,3.902322,    ,"ecc,a,inc:",0.001374,42203.116975,0.10488,    ,"Reward,score : ",0.0011,0.0016,    ,    ,Normalized_State: ,1.000464,0.001803,-0.000332,0.000582,0.001243,0.621074,    ,    ,action_values : ,-3.070676,1.3648,0.0003,    ,    ,Mass : ,1033.45892116365,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,39,    ,state : ,129700.228679,233.522058,-42.829185,0.000583,0.001244,3.904067,    ,"ecc,a,inc:",0.001374,42203.113911,0.10475,    ,"Reward,score : ",-0.0003,0.0013,    ,    ,Normalized_State: ,1.000463,0.001801,-0.00033,0.000583,0.001244,0.621352,    ,    ,action_values : ,-3.093752,1.5578,0.0003,    ,    ,Mass : ,1033.458498168348,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,40,    ,state : ,129700.223959,233.270365,-42.566145,0.000583,0.001244,3.905811,    ,"ecc,a,inc:",0.001374,42203.104951,0.10462,    ,"Reward,score : ",0.0,0.0013,    ,    ,Normalized_State: ,1.000463,0.001799,-0.000328,0.000583,0.001244,0.621629,    ,    ,action_values : ,2.354867,1.5171,0.0003,    ,    ,Mass : ,1033.4580751721796,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,41,    ,state : ,129700.210162,233.018538,-42.303898,0.000583,0.001244,3.907556,    ,"ecc,a,inc:",0.001374,42203.11873,0.104494,    ,"Reward,score : ",-0.0016,-0.0003,    ,    ,Normalized_State: ,1.000463,0.001797,-0.000326,0.000583,0.001244,0.621907,    ,    ,action_values : ,-1.341426,1.312,0.0003,    ,    ,Mass : ,1033.457652175251,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,42,    ,state : ,129700.231344,232.774362,-42.050451,0.000582,0.001245,3.9093,    ,"ecc,a,inc:",0.001374,42203.113677,0.104363,    ,"Reward,score : ",-0.0002,-0.0005,    ,    ,Normalized_State: ,1.000463,0.001796,-0.000324,0.000582,0.001245,0.622184,    ,    ,action_values : ,-3.140033,1.5494,0.0003,    ,    ,Mass : ,1033.4572291776121,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
