ep : ,1,    ,ep_step : ,23,    ,state : ,67530.929704,8.509019,-30345.374011,0.729025,0.000906,3.837778,    ,"ecc,a,inc:",0.728976,24422.287201,26.694661,    ,"Reward,score : ",0.3908,14.5508,    ,    ,Normalized_State: ,0.520911,6.6e-05,-0.234074,0.729025,0.000906,0.610801,    ,    ,action_values : ,-0.139745,0.9514,0.0002,    ,    ,Mass : ,449.80517841517815,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,24,    ,state : ,67539.8681,-0.339679,-30341.323493,0.728976,0.000728,4.012222,    ,"ecc,a,inc:",0.728961,24425.120756,26.691192,    ,"Reward,score : ",0.2001,14.751,    ,    ,Normalized_State: ,0.52098,-3e-06,-0.234043,0.728976,0.000728,0.638565,    ,    ,action_values : ,-0.00802,0.902,0.0002,    ,    ,Mass : ,449.7961312305189,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,25,    ,state : ,67545.433031,-6.060459,-30340.169019,0.72896,0.000591,4.186667,    ,"ecc,a,inc:",0.728954,24427.093468,26.689711,    ,"Reward,score : ",0.101,14.852,    ,    ,Normalized_State: ,0.521022,-4.7e-05,-0.234034,0.72896,0.000591,0.666329,    ,    ,action_values : ,-0.203785,0.8659,0.0002,    ,    ,Mass : ,449.789858383286,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,26,    ,state : ,67548.814458,-9.718522,-30340.126369,0.728954,0.000498,4.361111,    ,"ecc,a,inc:",0.728955,24428.342558,26.689069,    ,"Reward,score : ",0.0441,14.896,    ,    ,Normalized_State: ,0.521049,-7.5e-05,-0.234033,0.728954,0.000498,0.694092,    ,    ,action_values : ,-0.261655,1.0352,0.0002,    ,    ,Mass : ,449.7854258109946,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,27,    ,state : ,67550.440233,-12.448393,-30340.179918,0.728955,0.000443,4.535556,    ,"ecc,a,inc:",0.728974,24430.847459,26.688952,    ,"Reward,score : ",0.0225,14.9185,    ,    ,Normalized_State: ,0.521061,-9.6e-05,-0.234034,0.728955,0.000443,0.721856,    ,    ,action_values : ,0.317919,0.7471,0.0002,    ,    ,Mass : ,449.78220551707926,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,28,    ,state : ,67551.931363,-13.894145,-30340.72592,0.728974,0.000392,4.71,    ,"ecc,a,inc:",0.728993,24433.355645,26.688963,    ,"Reward,score : ",0.0178,14.9364,    ,    ,Normalized_State: ,0.521073,-0.000107,-0.234038,0.728974,0.000392,0.74962,    ,    ,action_values : ,0.002606,0.1107,0.0002,    ,    ,Mass : ,449.77979131893005,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,29,    ,state : ,67553.379835,-14.054693,-30341.387921,0.728993,0.000348,4.884444,    ,"ecc,a,inc:",0.729001,24434.552264,26.688851,    ,"Reward,score : ",0.0125,14.9489,    ,    ,Normalized_State: ,0.521084,-0.000108,-0.234043,0.728993,0.000348,0.777383,    ,    ,action_values : ,-0.478501,-0.5253,0.0002,    ,    ,Mass : ,449.77792179451444,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,30,    ,state : ,67554.179858,-13.549931,-30341.629764,0.729001,0.000323,5.058889,    ,"ecc,a,inc:",0.729018,24436.301976,26.68875,    ,"Reward,score : ",0.0092,14.9581,    ,    ,Normalized_State: ,0.52109,-0.000105,-0.234045,0.729001,0.000323,0.805147,    ,    ,action_values : ,-0.139614,-0.3782,0.0002,    ,    ,Mass : ,449.7764268228399,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,31,    ,state : ,67554.897945,-13.28852,-30341.845149,0.729018,0.000302,5.233333,    ,"ecc,a,inc:",0.729028,24437.361533,26.688561,    ,"Reward,score : ",0.0081,14.9662,    ,    ,Normalized_State: ,0.521095,-0.000103,-0.234047,0.729018,0.000302,0.832911,    ,    ,action_values : ,-0.433767,-0.693,0.0002,    ,    ,Mass : ,449.77519351940555,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
ep : ,1,    ,ep_step : ,32,    ,state : ,67555.32472,-12.967757,-30341.838611,0.729027,0.000289,5.407778,    ,"ecc,a,inc:",0.72904,24438.491426,26.688324,    ,"Reward,score : ",0.0065,14.9727,    ,    ,Normalized_State: ,0.521099,-0.0001,-0.234047,0.729027,0.000289,0.860675,    ,    ,action_values : ,0.393405,-0.9191,0.0002,    ,    ,Mass : ,449.7741451315838,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,10.0
