ep : ,1,    ,ep_step : ,43,    ,state : ,129714.365656,-93.652207,96.919873,0.001665,-0.000759,4.915267,    ,"ecc,a,inc:",0.001829,42212.229989,0.059579,    ,"Reward,score : ",0.0437,0.5037,    ,    ,Normalized_State: ,1.000572,-0.000722,0.000748,0.001665,-0.000759,0.782289,    ,    ,action_values : ,2.594631,0.6518,0.0004,    ,    ,Mass : ,1116.8167179967838,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,44,    ,state : ,129714.136592,-93.852453,96.878294,0.001666,-0.000756,4.917011,    ,"ecc,a,inc:",0.001827,42212.067852,0.059527,    ,"Reward,score : ",0.0607,0.5645,    ,    ,Normalized_State: ,1.000571,-0.000724,0.000747,0.001666,-0.000756,0.782567,    ,    ,action_values : ,2.930441,-0.7169,0.0004,    ,    ,Mass : ,1116.8170145553352,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,45,    ,state : ,129713.887935,-93.635276,96.923338,0.001665,-0.000752,4.918756,    ,"ecc,a,inc:",0.001829,42212.064572,0.05952,    ,"Reward,score : ",-0.035,0.5294,    ,    ,Normalized_State: ,1.000569,-0.000722,0.000748,0.001665,-0.000752,0.782844,    ,    ,action_values : ,1.587242,-0.0907,0.0004,    ,    ,Mass : ,1116.8173111133144,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,46,    ,state : ,129713.88241,-93.60536,96.929623,0.001668,-0.000751,4.9205,    ,"ecc,a,inc:",0.001826,42211.851297,0.059503,    ,"Reward,score : ",0.0821,0.6115,    ,    ,Normalized_State: ,1.000569,-0.000722,0.000748,0.001668,-0.000751,0.783122,    ,    ,action_values : ,3.013617,-0.2128,0.0004,    ,    ,Mass : ,1116.8176076698753,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,47,    ,state : ,129713.555368,-93.535444,96.944156,0.001667,-0.000746,4.922244,    ,"ecc,a,inc:",0.001825,42211.879082,0.059527,    ,"Reward,score : ",0.0166,0.6281,    ,    ,Normalized_State: ,1.000566,-0.000722,0.000748,0.001667,-0.000746,0.7834,    ,    ,action_values : ,-1.436688,0.3017,0.0004,    ,    ,Mass : ,1116.8179042253294,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,48,    ,state : ,129713.598435,-93.633511,96.923219,0.001665,-0.000747,4.923989,    ,"ecc,a,inc:",0.001824,42211.923775,0.059551,    ,"Reward,score : ",0.0089,0.637,    ,    ,Normalized_State: ,1.000566,-0.000722,0.000748,0.001665,-0.000747,0.783677,    ,    ,action_values : ,-1.354282,0.3116,0.0004,    ,    ,Mass : ,1116.8182007794198,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,49,    ,state : ,129713.667416,-93.734643,96.901464,0.001663,-0.000749,4.925733,    ,"ecc,a,inc:",0.001823,42211.906005,0.059473,    ,"Reward,score : ",0.0053,0.6423,    ,    ,Normalized_State: ,1.000567,-0.000723,0.000747,0.001663,-0.000749,0.783955,    ,    ,action_values : ,2.652216,-1.4791,0.0004,    ,    ,Mass : ,1116.8184973318594,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,50,    ,state : ,129713.640151,-93.406382,96.972854,0.001663,-0.000748,4.927478,    ,"ecc,a,inc:",0.001823,42211.843267,0.059548,    ,"Reward,score : ",0.0205,0.6628,    ,    ,Normalized_State: ,1.000567,-0.000721,0.000748,0.001663,-0.000748,0.784232,    ,    ,action_values : ,3.08405,1.2811,0.0004,    ,    ,Mass : ,1116.8187938831554,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,51,    ,state : ,129713.543958,-93.722083,96.903507,0.001662,-0.000747,4.929222,    ,"ecc,a,inc:",0.001819,42211.63903,0.059537,    ,"Reward,score : ",0.0946,0.7574,    ,    ,Normalized_State: ,1.000566,-0.000723,0.000747,0.001662,-0.000747,0.78451,    ,    ,action_values : ,-2.780939,-0.1305,0.0004,    ,    ,Mass : ,1116.819090432448,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,52,    ,state : ,129713.23101,-93.679004,96.912753,0.00166,-0.000742,4.930967,    ,"ecc,a,inc:",0.001819,42211.638408,0.059461,    ,"Reward,score : ",-0.0053,0.7521,    ,    ,Normalized_State: ,1.000564,-0.000723,0.000748,0.00166,-0.000742,0.784788,    ,    ,action_values : ,1.591936,-1.4265,0.0004,    ,    ,Mass : ,1116.8193869810482,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
ep : ,1,    ,ep_step : ,53,    ,state : ,129713.229985,-93.353184,96.985424,0.001661,-0.000742,4.932711,    ,"ecc,a,inc:",0.001822,42211.795677,0.05951,    ,"Reward,score : ",-0.0797,0.6724,    ,    ,Normalized_State: ,1.000564,-0.00072,0.000748,0.001661,-0.000742,0.785065,    ,    ,action_values : ,0.367657,0.6989,0.0004,    ,    ,Mass : ,1116.8196835287752,    ,    ,flag_ecc : ,0,    ,flag_a : ,0,    ,flag_inc : ,0,    ,Segment : ,0.1
